Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
BOKU	UNCLASSIFIED	urogenital_system	cervix	0.0823	0.828
KP-N-YS	NB	nervous_system	neuroblastoma	0.0839	0.837
TGW	NB	nervous_system	neuroblastoma	0.086	0.886
GAK	SKCM	skin	melanoma	0.0883	0.87
SK-NEP-1	UNCLASSIFIED	kidney	kidney	0.0887	0.872
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.091	0.862
NCI-H187	SCLC	lung	lung_small_cell_carcinoma	0.0932	0.854
BC-1	DLBC	blood	B_cell_lymphoma	0.0934	0.896
LP-1	MM	blood	myeloma	0.0942	0.902
L-428	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0962	0.892
KLE	UCEC	urogenital_system	endometrium	0.0964	0.809
OS-RC-2	KIRC	kidney	kidney	0.0966	0.818
L-1236	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0969	0.9
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	0.098	0.846
GOTO	NB	nervous_system	neuroblastoma	0.0984	0.853
HCC2157	BRCA	breast	breast	0.0995	0.865
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	0.102	0.855
OMC-1	CESC	urogenital_system	cervix	0.102	0.869
LS-1034	COREAD	digestive_system	large_intestine	0.103	0.861
NCI-H2107	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.106	0.855
NCI-H345	SCLC	lung	lung_small_cell_carcinoma	0.106	0.869
KELLY	NB	nervous_system	neuroblastoma	0.107	0.896
NCI-H1522	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.108	0.904
Raji	UNCLASSIFIED	blood	Burkitt_lymphoma	0.108	0.892
NCI-H2135	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.109	0.887
KP-N-RT-BM-1	NB	nervous_system	neuroblastoma	0.115	0.848
D-336MG	LGG	nervous_system	glioma	0.116	0.85
CP67-MEL	SKCM	skin	melanoma	0.118	0.808
HCC-33	SCLC	lung	lung_small_cell_carcinoma	0.118	0.887
NCI-H1869	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.12	0.871
MHH-NB-11	NB	nervous_system	neuroblastoma	0.128	0.88
NCI-H1155	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.135	0.935
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	0.139	0.902
NCI-H1694	SCLC	lung	lung_small_cell_carcinoma	0.139	0.901
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.14	0.974
LC-1F	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	0.144	0.867
CAS-1	GBM	nervous_system	glioma	0.149	0.861
BE2-M17	NB	nervous_system	neuroblastoma	0.151	0.903
SNU-C1	COREAD	digestive_system	large_intestine	0.151	0.852
GCIY	STAD	digestive_system	stomach	0.155	0.891
BT-474	BRCA	breast	breast	0.156	0.893
COLO-668	SCLC	lung	lung_small_cell_carcinoma	0.158	0.91
KP-N-YN	NB	nervous_system	neuroblastoma	0.16	0.896
NB6	NB	nervous_system	neuroblastoma	0.16	0.881
C2BBe1	COREAD	digestive_system	large_intestine	0.165	0.894
COLO-320-HSR	COREAD	digestive_system	large_intestine	0.167	0.938
CA46	UNCLASSIFIED	blood	Burkitt_lymphoma	0.172	0.906
EB-3	UNCLASSIFIED	blood	Burkitt_lymphoma	0.18	0.897
KNS-81-FD	LGG	nervous_system	glioma	0.187	0.879
COR-L95	SCLC	lung	lung_small_cell_carcinoma	0.188	0.9
SNU-1	STAD	digestive_system	stomach	0.19	0.918
NB5	NB	nervous_system	neuroblastoma	0.199	0.923
MDA-MB-134-VI	UNCLASSIFIED	breast	breast	0.199	0.914
DB	DLBC	blood	B_cell_lymphoma	0.219	0.915
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.229	0.94
EHEB	CLL	blood	lymphoid_neoplasm_other	0.236	0.885
KMOE-2	LAML	blood	acute_myeloid_leukaemia	0.259	0.957
SHP-77	SCLC	lung	lung_small_cell_carcinoma	0.277	0.959
SCH	UNCLASSIFIED	digestive_system	stomach	0.279	0.934
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	0.287	0.966
NCI-H1092	SCLC	lung	lung_small_cell_carcinoma	0.296	0.946
P30-OHK	ALL	blood	lymphoblastic_leukemia	0.306	0.974
A704	KIRC	kidney	kidney	0.323	0.954
NCI-H719	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.325	0.946
U-698-M	UNCLASSIFIED	blood	B_cell_leukemia	0.331	0.952
ROS-50	UNCLASSIFIED	blood	B_cell_leukemia	0.359	0.925
NCI-H2196	SCLC	lung	lung_small_cell_carcinoma	0.362	0.949
NCI-H226	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.366	0.949
CP66-MEL	SKCM	skin	melanoma	0.369	0.94
SK-MEL-1	SKCM	skin	melanoma	0.393	0.976
CHP-126	NB	nervous_system	neuroblastoma	0.396	0.956
NK-92MI	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.411	0.969
LS-513	COREAD	digestive_system	large_intestine	0.433	0.957
NB(TU)1-10	NB	nervous_system	neuroblastoma	0.448	0.979
SK-N-FI	NB	nervous_system	neuroblastoma	0.449	0.964
REH	UNCLASSIFIED	blood	B_cell_leukemia	0.45	0.968
NCI-H23	LUAD	lung	lung_NSCLC_adenocarcinoma	0.454	0.965
DMS-79	SCLC	lung	lung_small_cell_carcinoma	0.481	0.948
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	0.511	0.96
COLO-824	BRCA	breast	breast	0.514	0.965
HAL-01	ALL	blood	lymphoblastic_leukemia	0.548	0.982
MPP-89	MESO	lung	mesothelioma	0.557	0.942
SCC-15	HNSC	aero_digestive_tract	head_and_neck	0.562	0.939
ME-1	LAML	blood	acute_myeloid_leukaemia	0.58	0.964
THP-1	LAML	blood	acute_myeloid_leukaemia	0.584	0.981
P31-FUJ	LAML	blood	acute_myeloid_leukaemia	0.605	0.996
MSTO-211H	MESO	lung	mesothelioma	0.609	0.981
A498	KIRC	kidney	kidney	0.61	0.929
NCI-H720	UNCLASSIFIED	lung	lung_NSCLC_carcinoid	0.611	0.98
EB2	UNCLASSIFIED	blood	Burkitt_lymphoma	0.612	0.982
JVM-2	CLL	blood	lymphoid_neoplasm_other	0.637	0.953
DSH1	BLCA	urogenital_system	bladder	0.639	0.978
LU-165	SCLC	lung	lung_small_cell_carcinoma	0.662	0.963
SK-MEL-2	SKCM	skin	melanoma	0.666	0.971
NCI-H1395	LUAD	lung	lung_NSCLC_adenocarcinoma	0.669	0.946
U-87-MG	GBM	nervous_system	glioma	0.748	0.962
NCI-H1838	LUAD	lung	lung_NSCLC_adenocarcinoma	0.752	0.959
ES3	UNCLASSIFIED	bone	ewings_sarcoma	0.823	0.975
NCI-H2081	SCLC	lung	lung_small_cell_carcinoma	0.824	0.973
